call_key,evaluation_score
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgIS79qOeCAyiARNvYmlsZXQuYWxvLXRlY2guY29t,80.5
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgISbh4u5CAyiARNvYmlsZXQuYWxvLXRlY2guY29t,97
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgIT7lMuPCAyiARNvYmlsZXQuYWxvLXRlY2guY29t,97
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgITb4On9CgyiARNvYmlsZXQuYWxvLXRlY2guY29t,97.5
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgITH77nvCQyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgIS7mZDUCQyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgIS7sdm8CwyiARNvYmlsZXQuYWxvLXRlY2guY29t,97
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgISnjLaLCAyiARNvYmlsZXQuYWxvLXRlY2guY29t,98
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgISbs-e7CAyiARNvYmlsZXQuYWxvLXRlY2guY29t,95
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgITH0Im1CwyiARNvYmlsZXQuYWxvLXRlY2guY29t,87
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgISHteypCgyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgITHofLjCQyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgISn5LvkCwyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgITN3KurCwyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgITNorq9CwyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgITtpcOBCgyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgITd3Yr3CQyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgIS9kZCLCAyiARNvYmlsZXQuYWxvLXRlY2guY29t,88.5
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgIS94o60CgyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgITj7N_3CwyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgISzupWrCQyiARNvYmlsZXQuYWxvLXRlY2guY29t,97.5
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgISTq_ziCAyiARNvYmlsZXQuYWxvLXRlY2guY29t,87
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgISTy7PcCAyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgITD7-2jCAyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgISzoMuBCwyiARNvYmlsZXQuYWxvLXRlY2guY29t,80.5
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgITTo9qqCQyiARNvYmlsZXQuYWxvLXRlY2guY29t,91
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgITTsKzICAyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgIS7gtfLCQyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgITr3demCAyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgISbhpb5CgyiARNvYmlsZXQuYWxvLXRlY2guY29t,94
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgITrjbv7CAyiARNvYmlsZXQuYWxvLXRlY2guY29t,87
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgIT7rMKFCAyiARNvYmlsZXQuYWxvLXRlY2guY29t,87
ahRzfm11c3RlcmktaGl6bWV0bGVyaXIRCxIEQ2FsbBiAgITnyqzKCwyiARNvYmlsZXQuYWxvLXRlY2guY29t,100
